Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2010 [YR2010],2018 [YR2018]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,56.784,61.028,64.486
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,74.579,76.562,78.458
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,71.605,74.938,76.693
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,47.702,55.35,60.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,74.395,75.823,76.885
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,73.932,75.278,76.52
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,72.112,73.331,74.945
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.937,75.017,76.152
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,79.93658537,81.69512195,82.74878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,78.67804878,80.5804878,81.69268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,67.391,70.938,72.864
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,71.977,72.144,73.752
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,74.822,76.057,77.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,66.43,69.881,72.32
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,77.534,78.364,79.081
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,68.05609756,70.40487805,74.17560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,78.07560976,80.18292683,81.59512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,69.272,72.057,74.496
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,56.025,59.318,61.47
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,78.08780488,79.28853659,81.65170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,62.728,68.384,71.46
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,63.64,68.007,71.239
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,74.803,76.031,77.262
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,50.232,60.211,69.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,70.813,73.619,75.672
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,73.332,74.74,75.722
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.86585366,73.51219512,74.96341463
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,51.384,57.096,61.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,50.81,57.228,61.247
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,69.557,71.062,72.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,60.283,66.56,69.57
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,51.536,55.101,58.921
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,79.4902439,81.24634146,82.04878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,82.1902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,44.063,47.312,52.805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,47.9,50.89,53.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,79.548,81.483,82.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,76.894,78.779,80.042
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,72.061,74.409,76.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,73.517,75.424,77.109
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,59.617,61.862,64.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,51.385,56.909,60.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,53.091,60.093,64.29
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,77.74,78.769,80.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,49.475,52.964,57.422
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,74.71731707,76.47560976,78.07073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,77.105,78.338,78.726
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,78.264,79.43,80.828
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,75.22195122,77.42439024,79.02926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,76.89512195,79.1,80.95365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,57.235,60.062,66.582
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,76.59756098,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,69.957,72.046,73.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,73.371,75.089,76.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,68.961,70.349,71.825
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,69.432,71.21,73.096
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,53.84,55.622,58.402
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,56.5,62.193,65.941
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,70.90487805,75.42926829,78.24390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,44.41,46.601,59.401
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,53.349,61.627,66.24
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,78.83902439,80.63902439,82.49512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,66.022,66.655,67.341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,78.1195122,79.87073171,81.73414634
