Country,HE2002,HE2010,HE2018
Afghanistan,78.0,138.0,186.0
Albania,314.0,452.0,697.0
Algeria,335.0,648.0,963.0
Andorra,2196.0,2771.0,3607.0
Angola,119.0,168.0,165.0
Antigua and Barbuda,846.0,1083.0,1406.0
Argentina,852.0,1745.0,1990.0
Armenia,231.0,606.0,1037.0
Australia,2438.0,3587.0,5005.0
Austria,2936.0,4303.0,5879.0
Azerbaijan,122.0,396.0,634.0
Bahamas,1060.0,1530.0,2005.0
Bahrain,1370.0,1527.0,1955.0
Bangladesh,33.0,66.0,110.0
Barbados,742.0,1095.0,1204.0
Belarus,410.0,885.0,1132.0
Belgium,2525.0,4101.0,5405.0
Belize,274.0,429.0,506.0
Benin,59.0,73.0,83.0
Bhutan,135.0,214.0,322.0
Bolivia,177.0,272.0,496.0
Bosnia and Herzegovina,369.0,842.0,1301.0
Botswana,583.0,803.0,1089.0
Brazil,833.0,1138.0,1531.0
Brunei,1952.0,1798.0,1953.0
Bulgaria,549.0,1057.0,1634.0
Burkina Faso,31.0,82.0,112.0
Burundi,39.0,81.0,66.0
Cape Verde,174.0,261.0,400.0
Cambodia,91.0,171.0,261.0
Cameroon,94.0,106.0,134.0
Canada,2758.0,4257.0,5200.0
Central African Republic,30.0,35.0,97.0
Chad,76.0,76.0,79.0
Chile,751.0,1230.0,2306.0
China,152.0,381.0,935.0
Colombia,382.0,760.0,1155.0
Comoros,128.0,121.0,134.0
Congo,73.0,106.0,125.0
Cook Islands,460.0,558.0,752.0
Costa Rica,576.0,1026.0,1337.0
Ivory Coast,102.0,160.0,176.0
Croatia,784.0,1599.0,1876.0
Cuba,711.0,2042.0,2519.0
Cyprus,1331.0,2206.0,2625.0
Czech Republic,1127.0,1919.0,3041.0
DR Congo,12.0,24.0,31.0
Denmark,2670.0,4457.0,5794.0
Djibouti,90.0,109.0,135.0
Dominica,307.0,519.0,710.0
Dominican Republic,355.0,621.0,1018.0
Ecuador,283.0,649.0,955.0
Egypt,367.0,429.0,614.0
El Salvador,412.0,507.0,592.0
Equatorial Guinea,435.0,606.0,697.0
Eritrea,93.0,65.0,74.0
Estonia,547.0,1365.0,2428.0
Eswatini,293.0,694.0,696.0
Ethiopia,25.0,58.0,67.0
Fiji,187.0,267.0,372.0
Finland,2177.0,3562.0,4457.0
France,2876.0,4061.0,5250.0
Gabon,476.0,376.0,491.0
Gambia,187.0,102.0,81.0
Georgia,259.0,599.0,796.0
Germany,2973.0,4321.0,6098.0
Ghana,131.0,186.0,168.0
Greece,1864.0,2679.0,2340.0
Grenada,489.0,585.0,694.0
Guatemala,323.0,404.0,483.0
Guinea,96.0,56.0,109.0
Guinea-Bissau,68.0,91.0,123.0
Guyana,266.0,333.0,513.0
Haiti,81.0,120.0,144.0
Honduras,172.0,334.0,362.0
Hungary,1033.0,1618.0,2115.0
Iceland,3110.0,3353.0,5113.0
India,102.0,145.0,275.0
Indonesia,112.0,245.0,375.0
Iran,554.0,1189.0,1691.0
Iraq,,416.0,716.0
Ireland,2370.0,4561.0,5897.0
Israel,1920.0,2102.0,3207.0
Italy,2264.0,3139.0,3624.0
Jamaica,317.0,416.0,559.0
Japan,2097.0,3192.0,4504.0
Jordan,617.0,770.0,738.0
Kazakhstan,368.0,541.0,784.0
Kenya,95.0,146.0,179.0
Kiribati,194.0,158.0,278.0
Kuwait,2054.0,2035.0,3669.0
Kyrgyzstan,81.0,191.0,260.0
Laos,92.0,127.0,167.0
Latvia,578.0,1069.0,1896.0
Lebanon,790.0,1050.0,1086.0
Lesotho,83.0,188.0,309.0
Liberia,1885.0,6839.0,12643.0
Libya,834.0,955.0,
Lithuania,642.0,1350.0,2313.0
Luxembourg,3979.0,6079.0,6048.0
Madagascar,70.0,74.0,79.0
Malawi,25.0,76.0,120.0
Malaysia,400.0,666.0,1194.0
Maldives,643.0,995.0,1443.0
Mali,68.0,86.0,90.0
Malta,1516.0,2287.0,3897.0
Marshall Islands,396.0,508.0,677.0
Mauritania,122.0,115.0,190.0
Mauritius,326.0,716.0,1381.0
Mexico,567.0,912.0,1066.0
Micronesia,210.0,428.0,414.0
