Country,LE2002,LE2010,LE2018
Afghanistan,56.784,61.028,64.486
Albania,74.579,76.562,78.458
Algeria,71.605,74.938,76.693
American Samoa,..,..,..
Andorra,..,..,..
Angola,47.702,55.35,60.782
Antigua and Barbuda,74.395,75.823,76.885
Argentina,73.932,75.278,76.52
Armenia,72.112,73.331,74.945
Aruba,73.937,75.017,76.152
Australia,79.93658537,81.69512195,82.74878049
Austria,78.67804878,80.5804878,81.69268293
Azerbaijan,67.391,70.938,72.864
"Bahamas, The",71.977,72.144,73.752
Bahrain,74.822,76.057,77.163
Bangladesh,66.43,69.881,72.32
Barbados,77.534,78.364,79.081
Belarus,68.05609756,70.40487805,74.17560976
Belgium,78.07560976,80.18292683,81.59512195
Belize,69.272,72.057,74.496
Benin,56.025,59.318,61.47
Bermuda,78.08780488,79.28853659,81.65170732
Bhutan,62.728,68.384,71.46
Bolivia,63.64,68.007,71.239
Bosnia and Herzegovina,74.803,76.031,77.262
Botswana,50.232,60.211,69.275
Brazil,70.813,73.619,75.672
British Virgin Islands,..,..,..
Brunei Darussalam,73.332,74.74,75.722
Bulgaria,71.86585366,73.51219512,74.96341463
Burkina Faso,51.384,57.096,61.174
Burundi,50.81,57.228,61.247
Cabo Verde,69.557,71.062,72.782
Cambodia,60.283,66.56,69.57
Cameroon,51.536,55.101,58.921
Canada,79.4902439,81.24634146,82.04878049
Cayman Islands,..,82.1902439,..
Central African Republic,44.063,47.312,52.805
Chad,47.9,50.89,53.977
Channel Islands,79.548,81.483,82.928
Chile,76.894,78.779,80.042
China,72.061,74.409,76.704
Colombia,73.517,75.424,77.109
Comoros,59.617,61.862,64.118
"Congo, Dem. Rep.",51.385,56.909,60.368
"Congo, Rep.",53.091,60.093,64.29
Costa Rica,77.74,78.769,80.095
Cote d'Ivoire,49.475,52.964,57.422
Croatia,74.71731707,76.47560976,78.07073171
Cuba,77.105,78.338,78.726
Curacao,..,..,..
Cyprus,78.264,79.43,80.828
Czech Republic,75.22195122,77.42439024,79.02926829
Denmark,76.89512195,79.1,80.95365854
Djibouti,57.235,60.062,66.582
Dominica,76.59756098,..,..
Dominican Republic,69.957,72.046,73.892
Ecuador,73.371,75.089,76.8
